Rank,URL,Clicks,Impressions,CTR%,Position,Expected_CTR%,CTR_Gap%,Potential_Additional_Clicks,Priority_Score
120,https://jo-katsu.com/campus/35228/,30,3764,0.80,5.3,5.0,+4.20,158,158
121,https://jo-katsu.com/campus/19283/,110,3791,2.90,3.6,7.0,+4.10,155,155
122,https://jo-katsu.com/campus/6216/,1,3892,0.03,5.6,4.0,+3.97,154,155
123,https://jo-katsu.com/campus/35605,26,2576,1.01,4.2,7.0,+5.99,154,154
124,https://jo-katsu.com/campus/18566/,25,3544,0.71,5.3,5.0,+4.29,152,152
125,https://jo-katsu.com/campus/24363/,9,2247,0.40,4.5,7.0,+6.60,148,148
126,https://jo-katsu.com/campus/16521/,74,2219,3.33,3.1,10.0,+6.67,147,148
127,https://jo-katsu.com/campus/20814/,60,4153,1.44,4.7,5.0,+3.56,147,148
128,https://jo-katsu.com/campus/6367/,57,4046,1.41,5.2,5.0,+3.59,145,145
129,https://jo-katsu.com/campus/37244,236,7623,3.10,4.6,5.0,+1.90,145,145
130,https://jo-katsu.com/campus/13668/,18,3247,0.55,4.8,5.0,+4.45,144,144
131,https://jo-katsu.com/campus/5197/,5,1490,0.34,3.0,10.0,+9.66,144,144
132,https://jo-katsu.com/campus/10493/,148,9722,1.52,6.7,3.0,+1.48,143,144
133,https://jo-katsu.com/campus/24431/,122,10604,1.15,7.9,2.5,+1.35,143,143
134,https://jo-katsu.com/campus/12909/,6,2122,0.28,3.7,7.0,+6.72,142,143
135,https://jo-katsu.com/campus/16510/,22,3268,0.67,5.1,5.0,+4.33,141,142
136,https://jo-katsu.com/campus/33299,104,3490,2.98,3.9,7.0,+4.02,140,140
137,https://jo-katsu.com/campus/19147/,119,6481,1.84,5.6,4.0,+2.16,140,140
138,https://jo-katsu.com/campus/23158/,88,3250,2.71,4.3,7.0,+4.29,139,139
139,https://jo-katsu.com/campus/18766/,14,3047,0.46,5.3,5.0,+4.54,138,138
140,https://jo-katsu.com/campus/26865/,43,3624,1.19,5.4,5.0,+3.81,138,138
141,https://jo-katsu.com/campus/24935/,163,7516,2.17,5.8,4.0,+1.83,137,138
142,https://jo-katsu.com/campus/14977/,11,1460,0.75,3.3,10.0,+9.25,135,135
143,https://jo-katsu.com/campus/26869/,317,6448,4.92,4.0,7.0,+2.08,134,134
144,https://jo-katsu.com/campus/22527/,8,2019,0.40,4.2,7.0,+6.60,133,133
145,https://jo-katsu.com/campus/5919/,23,6224,0.37,7.8,2.5,+2.13,132,133
146,https://jo-katsu.com/campus/35565,20,3048,0.66,5.3,5.0,+4.34,132,132
147,https://jo-katsu.com/campus/10330/,487,8844,5.51,4.1,7.0,+1.49,132,132
148,https://jo-katsu.com/campus/19721/,14,1433,0.98,3.2,10.0,+9.02,129,129
149,https://jo-katsu.com/campus/18454/,192,6415,2.99,5.2,5.0,+2.01,128,129
150,https://jo-katsu.com/campus/23883/,27,1559,1.73,3.3,10.0,+8.27,128,129
151,https://jo-katsu.com/campus/21957/,90,8768,1.03,7.7,2.5,+1.47,129,129
152,https://jo-katsu.com/campus/4497/,4,1867,0.21,3.6,7.0,+6.79,126,127
153,https://jo-katsu.com/campus/7482/,18,2884,0.62,5.3,5.0,+4.38,126,126
154,https://jo-katsu.com/campus/14466/,24,1495,1.61,3.3,10.0,+8.39,125,125
155,https://jo-katsu.com/campus/19788/,10,1908,0.52,4.1,7.0,+6.48,123,124
156,https://jo-katsu.com/campus/25832/,35,3167,1.11,5.4,5.0,+3.89,123,123
157,https://jo-katsu.com/campus/31553/,82,5112,1.60,5.5,4.0,+2.40,122,123
158,https://jo-katsu.com/campus/21825/,24,2096,1.15,4.5,7.0,+5.85,122,123
159,https://jo-katsu.com/campus/6842/,23,2080,1.11,4.4,7.0,+5.89,122,123
160,https://jo-katsu.com/campus/22676/,32,1544,2.07,3.2,10.0,+7.93,122,122
161,https://jo-katsu.com/campus/6403/,34,3903,0.87,6.4,4.0,+3.13,122,122
162,https://jo-katsu.com/campus/25700/,84,5147,1.63,6.1,4.0,+2.37,121,122
163,https://jo-katsu.com/campus/6284/,18,3432,0.52,5.9,4.0,+3.48,119,119
164,https://jo-katsu.com/campus/4541/,9,2533,0.36,5.1,5.0,+4.64,117,118
